IMAGE_FILE,DESCRIPTION,AUTHOR,TITLE,TECHNIQUE,DATE,TYPE,SCHOOL,TIMEFRAME
00029-philocte.jpg,"With this move, Abildgaard's stylistic innovation was imbued with features of a work canonised by neoclassicism - without, however, reducing the tensions in the painting","ABILDGAARD, Nicolai",The Wounded Philoctetes,"Oil on canvas, 123 x 178 cm",1775,mythological,Danish,1751-1800
00097-still_fr.jpg,"Intense colours characterize the still-lifes of Van Aelst, who worked for a time in France and Italy.","AELST, Willem van",Still-Life with Fruit and Crystal Vase,"Oil on canvas, 73 x 58 cm",1652,still-life,Dutch,1651-1700
00097-still_fr.jpg,"In this painting, which was commissioned by Cardinal Giovan Carlo de' Medici, the intense blue of the table-cloth catches one's eye.","AELST, Willem van",Still-Life with Fruit and Crystal Vase,"Oil on canvas, 73 x 58 cm",1652,still-life,Dutch,1651-1700
00097-still_fr.jpg,The large crystal vase in the centre of the composition was probably in the possession of the Medici family.,"AELST, Willem van",Still-Life with Fruit and Crystal Vase,"Oil on canvas, 73 x 58 cm",1652,still-life,Dutch,1651-1700
00097-still_fr.jpg,The painter placed his signature and the date on the hem of the white tablecloth: W.A.Aelst.,"AELST, Willem van",Still-Life with Fruit and Crystal Vase,"Oil on canvas, 73 x 58 cm",1652,still-life,Dutch,1651-1700
00097-still_fr.jpg,1652,"AELST, Willem van",Still-Life with Fruit and Crystal Vase,"Oil on canvas, 73 x 58 cm",1652,still-life,Dutch,1651-1700
00106-stilvase.jpg,Van Aelst's still-lifes are infinitely various.,"AELST, Willem van",Still-Life with Fruit and a Crystal Vase,"Oil on canvas, 77 x 102 cm",c. 1650,still-life,Dutch,1651-1700
00106-stilvase.jpg,"Here, he perhaps suggests the category's classical roots: the Greek painter Zeuxis's grapes, so lifelike that birds tried to eat them, and the split pomegranate recalling Demeter's bargain, and announcing winter's return, as Proserpina descends to Hades once more","AELST, Willem van",Still-Life with Fruit and a Crystal Vase,"Oil on canvas, 77 x 102 cm",c. 1650,still-life,Dutch,1651-1700
00123-marketse.jpg,The painting is an Ecce Homo fragment.,"AERTSEN, Pieter",Market Scene,"Oil on oak, 59,5 x 122,5 cm",c. 1550,still-life,Netherlandish,1501-1550
00123-marketse.jpg,"Similarly to other biblical paintings of Aertsen, the biblical event takes place at the back, while the foreground is dominated by a market scene.. Somewhere in the background, the picture - cut off at the top - affords a small glimpse of the platform where the masses are shouting 'Barabbas' (John 19:4-6).","AERTSEN, Pieter",Market Scene,"Oil on oak, 59,5 x 122,5 cm",c. 1550,still-life,Netherlandish,1501-1550
00123-marketse.jpg,This is optically overlaid by the bow-shaped arrangement of carts and market stalls - a reversal of emphasis which is typical of Aertsen,"AERTSEN, Pieter",Market Scene,"Oil on oak, 59,5 x 122,5 cm",c. 1550,still-life,Netherlandish,1501-1550
00124-marketst.jpg,"The painting demonstrates a wide range of agricultural products, made possible by the improvements in production methods.","AERTSEN, Pieter",Market Woman with Vegetable Stall,"Oil on wood, 11 x 110 cm",1567,still-life,Netherlandish,1501-1550
00124-marketst.jpg,"Offering her fruits and vegetables, the woman is almost an appendage to her produce.","AERTSEN, Pieter",Market Woman with Vegetable Stall,"Oil on wood, 11 x 110 cm",1567,still-life,Netherlandish,1501-1550
00124-marketst.jpg,"Despite all exaggeration, the picture quite adequately shows the new economic prosperity of the time.","AERTSEN, Pieter",Market Woman with Vegetable Stall,"Oil on wood, 11 x 110 cm",1567,still-life,Netherlandish,1501-1550
00124-marketst.jpg,"At the same time, however, it still contains a background scene in genre style of embracing lovers in a stable, thus relating the painting to late medieval peasant satires.","AERTSEN, Pieter",Market Woman with Vegetable Stall,"Oil on wood, 11 x 110 cm",1567,still-life,Netherlandish,1501-1550
00124-marketst.jpg,"Peasants were regarded as lustful, sensuous and carnal by the middle classes","AERTSEN, Pieter",Market Woman with Vegetable Stall,"Oil on wood, 11 x 110 cm",1567,still-life,Netherlandish,1501-1550
00134-horse.jpg,"In England Agasse was praised for his extreme devotion to art, of his marvellous knowledge of anatomy, of his special fondness for the English racehorses, and his excellence in depicting them","AGASSE, Jacques-Laurent",Portrait of a Horse,"Oil on paper laid down on board, 36 x 44 cm",1794-95,other,Swiss,1801-1850
00195-5verospi.jpg,"The picture shows the painting on the ceiling vault of the piano nobile loggia in the Palazzo Verospi, painted by Francesco Albani.","ALBANI, Francesco",Ceiling vault of piano nobile loggia,Fresco,1611-12,mythological,Italian,1601-1650
00195-5verospi.jpg,"The depictions are: Phoebus-Apollo and Personifications of the Seasons in the centre panel; Genii of Morning and Evening Twilight in the ovals; The Planetary Gods; Genii of Morning and Night with their Children Sleep and Death in the spandrels.Since antiquity, colonnades and porticoes with painted decoration have been distinguishing features of the palaces of ruling houses.","ALBANI, Francesco",Ceiling vault of piano nobile loggia,Fresco,1611-12,mythological,Italian,1601-1650
00195-5verospi.jpg,"In the seventeenth century the main focus in the painting of a loggia, an indispensable feature of the piano nobile in palaces and villas in Rome and elsewhere, was the vault.","ALBANI, Francesco",Ceiling vault of piano nobile loggia,Fresco,1611-12,mythological,Italian,1601-1650
00195-5verospi.jpg,"The original pattern for the Roman loggia was the loggia of the Villa Farnesina, painted by Raphael with free-floating figures in the spandrels and caps of the vault.","ALBANI, Francesco",Ceiling vault of piano nobile loggia,Fresco,1611-12,mythological,Italian,1601-1650
00195-5verospi.jpg,"The piano nobile loggia in the Palazzo Verospi, painted by Albani follows this pattern, but borrowings from the ceiling of the Galleria Farnese, from Reni's Aurora and Guercino's Aurora are also present","ALBANI, Francesco",Ceiling vault of piano nobile loggia,Fresco,1611-12,mythological,Italian,1601-1650
00206-venus1.jpg,"In 1621, Ferdinando Gonzaga, the Duke of Mantua, commissioned a series of The Story of Venus for his Villa Favorita.","ALBANI, Francesco",Toilet of Venus,"Oil on canvas, 202 x 252 cm",1621-33,mythological,Italian,1601-1650
00206-venus1.jpg,"Completed in 1633, these pictures are enlarged versions of the round compositions of a cycle formerly executed for the prince Borghese towards 1615-17.","ALBANI, Francesco",Toilet of Venus,"Oil on canvas, 202 x 252 cm",1621-33,mythological,Italian,1601-1650
00206-venus1.jpg,The Toilet of Venus belongs to the series,"ALBANI, Francesco",Toilet of Venus,"Oil on canvas, 202 x 252 cm",1621-33,mythological,Italian,1601-1650
00210-phaeton3.jpg,"This scene is on the east wall of the Galleria in the Palazzo Odescalchi Giustiniani, Bassano Romano","ALBANI, Francesco",The Phaethon Legend: Neptune Taming Horses,Fresco,1609-10,mythological,Italian,1601-1650
00217-apocaly.jpg,"From the demolished church of San Giovanni Evangelista on Torcello, the polyptych portrays with exemplary clarity one of the visions described by St John in the Book of Revelations","ALBEREGNO, Jacobello",Polyptych of the Apocalypse,"Tempera on panel, 95 x 61 cm (centre), 45 x 33 cm (sides)",1360-90,religious,Italian,1351-1400
00221-oratory.jpg,The oratory at the west edge of the city centre of Urbino was erected c.,"ALBERTI, Antonio",St John fresco cycle,Fresco,c. 1416,religious,Italian,1401-1450
00221-oratory.jpg,1393.,"ALBERTI, Antonio",St John fresco cycle,Fresco,c. 1416,religious,Italian,1401-1450
00221-oratory.jpg,"Nothing is known about the commissioning of the paintings on the walls, a cycle depicting scenes from the life of St John the Baptist.","ALBERTI, Antonio",St John fresco cycle,Fresco,c. 1416,religious,Italian,1401-1450
00221-oratory.jpg,"The unidentified patron was probably from Rome from where the Salimbeni brothers, Lorenzo and Jacopo, came to Urbino for this commission.","ALBERTI, Antonio",St John fresco cycle,Fresco,c. 1416,religious,Italian,1401-1450
00221-oratory.jpg,Stylistic analysis tells us that another painter was also engaged for the wall frescoes in the oratory.,"ALBERTI, Antonio",St John fresco cycle,Fresco,c. 1416,religious,Italian,1401-1450
00221-oratory.jpg,Antonio Alberti was responsible for the scenes from the St John cycle on the left-hand wall and on the inner façade.The picture shows the view of the left-hand (east) long wall of the oratory with fragments of the St John cycle in the upper register.,"ALBERTI, Antonio",St John fresco cycle,Fresco,c. 1416,religious,Italian,1401-1450
00221-oratory.jpg,"The scenic compartments are considered to be the work of Antonio Alberti.The lower register of the east wall includes several votive pictures, separately framed but also painted on the wall, that must have been executed at roughly the same time as the cycle.","ALBERTI, Antonio",St John fresco cycle,Fresco,c. 1416,religious,Italian,1401-1450
00221-oratory.jpg,The two votive paintings with an enthroned Madonna and saints were painted by the Salimbeni brothers.,"ALBERTI, Antonio",St John fresco cycle,Fresco,c. 1416,religious,Italian,1401-1450
00255-v_josefa.jpg,Alcibar was a famous painter in Mexico in the viceregal period.,"ALCIBAR, José de",Portrait of María Anna Josefa Taking Vow,"Oil on canvas, 103,5 x 83,5 cm",1793,portrait,Other,1751-1800
00255-v_josefa.jpg,"He painted murals in many cathedrals, and painted portraits of nuns.","ALCIBAR, José de",Portrait of María Anna Josefa Taking Vow,"Oil on canvas, 103,5 x 83,5 cm",1793,portrait,Other,1751-1800
00255-v_josefa.jpg,In 18th-century Mexico hundreds of portraits were produced on the occasion of taking vow of chastity of young girls going to a convent.,"ALCIBAR, José de",Portrait of María Anna Josefa Taking Vow,"Oil on canvas, 103,5 x 83,5 cm",1793,portrait,Other,1751-1800
00255-v_josefa.jpg,This painting representing a 16 years old girl belongs to this series,"ALCIBAR, José de",Portrait of María Anna Josefa Taking Vow,"Oil on canvas, 103,5 x 83,5 cm",1793,portrait,Other,1751-1800
00334-portra1.jpg,"What strikes us in this portrait is the convincing compromise between the formal purity acquired from Bronzino, the predilection for enlarged forms drawn from Michelangelo, and the balanced, rhythmic spatial models of Raphael, for Allori was a truly skilled alchemist in combining these various influences in a dignified way.The lady portrayed is certainly Bianca Cappello, already painted by Allori in a fresco which now hangs in the Tribune of the Uffizi.On the back of the portrait is an allegorical scene, the Dream of Human Life","ALLORI, Alessandro",Portrait of a Woman,"Oil on copper, 37 x 27 cm",1570-90,portrait,Italian,1551-1600
00336-portrai3.jpg,Grand Duke Francesco I de' Medici was a man of profound and obsessive passions.,"ALLORI, Alessandro","Portrait of Bianca Cappello, Second Wife of Francesco I de' Medici","Fresco, 75 x 52 cm",c. 1580,portrait,Italian,1551-1600
00336-portrai3.jpg,"The Uffizi galleries, which he established, were one, Bianca Cappello (1548-1587), his mistress, and afterwards, the second wife, was the other.","ALLORI, Alessandro","Portrait of Bianca Cappello, Second Wife of Francesco I de' Medici","Fresco, 75 x 52 cm",c. 1580,portrait,Italian,1551-1600
00361-flight_e.jpg,"The forested landscapes of Alsloot often incorporate views of castles and abbeys located in the Foret de Soignes, near Brussels, a frequent source of inspiration.","ALSLOOT, Denis van",The Flight into Egypt,"Oil on oak panel, 52 x 67 cm",c. 1608,religious,Flemish,1601-1650
00361-flight_e.jpg,"The building depicted with topographical accuracy in its lakeside setting in the present painting can be identified as the ch&#226;teau at Tervueren, an important site tied to the Brussels court.","ALSLOOT, Denis van",The Flight into Egypt,"Oil on oak panel, 52 x 67 cm",c. 1608,religious,Flemish,1601-1650
00361-flight_e.jpg,"As in many of Alsloot's paintings the figures are probably the work of Alsloot's principal collaborator, Hendrik de Clerck","ALSLOOT, Denis van",The Flight into Egypt,"Oil on oak panel, 52 x 67 cm",c. 1608,religious,Flemish,1601-1650
00370-5battle.jpg,This is the most famous painting of Altdorfer.,"ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00370-5battle.jpg,Its subject is the victory of the young Alexander the Great in 333 B.C.,"ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00370-5battle.jpg,over the Persian army of King Darius in the battle of Issos.,"ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00370-5battle.jpg,"The battle in fact took place in Turkey, however, on this painting it is shown in the rocky environment of the Alps with German cities in the background.The viewer, endowed with telescopic vision, witnesses the battle and the cosmic landscape.","ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00370-5battle.jpg,The ebb and flow of battle makes it difficult initially to distinguish the two sides.,"ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00370-5battle.jpg,"Altdorfer dressed the Macedonians like German knights and landsknechts (mercenary foot-soldiers), while the Persian warriors sport turbans and exotic attires.","ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00370-5battle.jpg,Hundreds of riders and foot-soldiers skirmish within sight of their battle standards.,"ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00370-5battle.jpg,"Darius' chariot, with mounted steel blades, cuts a path through the throng.","ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00370-5battle.jpg,"Alexander, riding on Bucephalus, and some of his knights are in close pursuit.","ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00370-5battle.jpg,"Darius escaped but at great cost: according to the tablet above, 100.000 Persian soldiers and 10.000 riders died.","ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00370-5battle.jpg,"Although the actual toll was lower, Darius' army was decimated and his family was captured.","ALTDORFER, Albrecht",The Battle of Alexander,"Oil tempera on wood, 158 x 120 cm",1529,historical,German,1501-1550
00418-4saints2.jpg,"The first two pictures, dedicated to St Catherine, are in very poor condition; they show the saint appearing before Emperor Maxentius to condemn idolatry and her dispute with the philosophers summoned by the emperor and their conversion.",ALTICHIERO da Zevio,The Beheading of St Catherine,Fresco,1378-84,religious,Italian,1351-1400
00418-4saints2.jpg,These scenes are followed by the picture of an angel intervening to prevent Catherine's torture on the wheel and the beheading of the saint.,ALTICHIERO da Zevio,The Beheading of St Catherine,Fresco,1378-84,religious,Italian,1351-1400
00418-4saints2.jpg,"Both scenes have parallels in the St George cycle, here, however, an oriental milieu, seen in the physiognomies, head coverings, and scimitars, is emphasized still more",ALTICHIERO da Zevio,The Beheading of St Catherine,Fresco,1378-84,religious,Italian,1351-1400
00431-4seasons.jpg,This oil sketch is a study for a ceiling fresco in the ceremonial hall of the Neuwartenburg palace near Timelkam/Vocklabruck.,"ALTOMONTE, Bartolomeo",The Four Seasons Paying Homage to Chronos,"Oil on canvas, 75 x 95 cm",c. 1737,mythological,Austrian,1701-1750
00431-4seasons.jpg,The palace was built between 1730-32 by the architect Anton Erhard Martinelli (c.,"ALTOMONTE, Bartolomeo",The Four Seasons Paying Homage to Chronos,"Oil on canvas, 75 x 95 cm",c. 1737,mythological,Austrian,1701-1750
00431-4seasons.jpg,"1684&#151;1747) in honour of Emperor Charles VI, who visited Vocklabruck to go hawking","ALTOMONTE, Bartolomeo",The Four Seasons Paying Homage to Chronos,"Oil on canvas, 75 x 95 cm",c. 1737,mythological,Austrian,1701-1750
00468-sisera.jpg,This painting relates the story of Jael and Sisera in tones of delicate colours that contrast emphatically with the drama of the biblical event recounted.,"AMIGONI, Jacopo",Jael and Sisera,Oil on canvas,c. 1739,mythological,Italian,1701-1750
00468-sisera.jpg,"It was painted after the artist's return too Venice from travels that took him to most of Europe, when his palette became brighter and more refined.Sisera was a cruel Canaanite leader who ruled the Israelites for twenty years.","AMIGONI, Jacopo",Jael and Sisera,Oil on canvas,c. 1739,mythological,Italian,1701-1750
00468-sisera.jpg,Barak defeated his nine hundred charioteers by a surprise Israelite attack.,"AMIGONI, Jacopo",Jael and Sisera,Oil on canvas,c. 1739,mythological,Italian,1701-1750
00468-sisera.jpg,"Sisera escaped and sought refuge in the tent of Jael, wife of Heber the Kenite.","AMIGONI, Jacopo",Jael and Sisera,Oil on canvas,c. 1739,mythological,Italian,1701-1750
00468-sisera.jpg,She gave the terrified Canaanite sanctuary.,"AMIGONI, Jacopo",Jael and Sisera,Oil on canvas,c. 1739,mythological,Italian,1701-1750
00468-sisera.jpg,"When he fell asleep, she drove a tent peg into his brain.","AMIGONI, Jacopo",Jael and Sisera,Oil on canvas,c. 1739,mythological,Italian,1701-1750
00468-sisera.jpg,"The act fulfilled the prediction of Debora, prophetess and Israelite leader, who foresaw that a woman would slay Sisera","AMIGONI, Jacopo",Jael and Sisera,Oil on canvas,c. 1739,mythological,Italian,1701-1750
00475-venus2.jpg,"Amigoni had spent his early career in Venice, but he left the city to make a name for himself as an international artist, quickly finding an avid audience in the various courts of Europe which had developed a taste for the charm of the Venetian Rococo.","AMIGONI, Jacopo",Bacchus and Ariadne,"Oil on canvas, 104 x 129 cm",1730s,mythological,Italian,1701-1750
00475-venus2.jpg,"In 1730, Amigoni arrived in London fresh from a series of pictorial triumphs in Venice, Rome and at the court of the Elector of Bavaria, and soon had eager patrons amongst the English nobility and even royalty.The pair of canvases of mythological subjects, Venus and Adonis, and Bacchus and Ariadne, represent one of the most important works by Amigoni from his seminal English sojourn.","AMIGONI, Jacopo",Bacchus and Ariadne,"Oil on canvas, 104 x 129 cm",1730s,mythological,Italian,1701-1750
00475-venus2.jpg,"These subjects represent two of the most recognizable and classic of all mythological stories, both with a rich history of pictorial representation in Venetian art.","AMIGONI, Jacopo",Bacchus and Ariadne,"Oil on canvas, 104 x 129 cm",1730s,mythological,Italian,1701-1750
00475-venus2.jpg,"They are taken from Ovid's Metamorphoses, and in the case of Venus and Adonis, Amigoni returned to the subject throughout his career","AMIGONI, Jacopo",Bacchus and Ariadne,"Oil on canvas, 104 x 129 cm",1730s,mythological,Italian,1701-1750
00476-virgin_c.jpg,Amigoni treated this subject about fifteen times during his career.,"AMIGONI, Jacopo",Virgin and Child,"Oil on canvas, 26 c 21 cm",-,religious,Italian,1701-1750
00476-virgin_c.jpg,It is difficult to reconstruct a chronological classification of these pieces,"AMIGONI, Jacopo",Virgin and Child,"Oil on canvas, 26 c 21 cm",-,religious,Italian,1701-1750
00515-mother.jpg,"This portrait, depicting a frontal view of a seated woman with a pillow at her back.","ANCHER, Anna Kirstine","The Artist's Mother, Anna Hedvig Br?ndum","Oil on canvas, 79 x 63 cm",1913,portrait,Danish,1851-1900
00515-mother.jpg,"depends on its palette of rose, violet, white, yellow and blue shades","ANCHER, Anna Kirstine","The Artist's Mother, Anna Hedvig Br?ndum","Oil on canvas, 79 x 63 cm",1913,portrait,Danish,1851-1900
00516-lifeboat.jpg,With this painting Michael Ancher continued his tale of the heroic fishermen of Skagen.,"ANCHER, Michael Peter",The Lifeboat is Taken through the Dunes,"Oil on canvas, 171 x 221 cm",1883,genre,Danish,1851-1900
00516-lifeboat.jpg,"An epic on a grand scale, the narrative opened with the question Will He Weather the Point, went on to a happy preliminary end, as it were, with A Crew is Rescued and was finally concluded in The Drowned Fisherman","ANCHER, Michael Peter",The Lifeboat is Taken through the Dunes,"Oil on canvas, 171 x 221 cm",1883,genre,Danish,1851-1900
00518-capture.jpg,"On 5th February 1794, Sir John Jervis and Lieutenant General Sir Charles Grey, arrived at Martinique and by 20th March the whole island, with the exception of Fort Bourbon and Fort Royal, had submitted.","ANDERSON, William","The Capture of Fort Saint Louis, Martinique","Oil on canvas, 91 x 127 cm",1795,historical,Scottish,1801-1850
00518-capture.jpg,"On 20th March Fort Louis, the chief defence of Fort Royal was captured.","ANDERSON, William","The Capture of Fort Saint Louis, Martinique","Oil on canvas, 91 x 127 cm",1795,historical,Scottish,1801-1850
00518-capture.jpg,Meanwhile the boats captured Fort Royal and two days later Fort Bourbon capitulated,"ANDERSON, William","The Capture of Fort Saint Louis, Martinique","Oil on canvas, 91 x 127 cm",1795,historical,Scottish,1801-1850
00571-polyptyx.jpg,"The work was probably painted after an outbreak of plague, perhaps the one in 1478, as the saints in the lower register suggest.",ANDREA DA MURANO,Polyptych,"Tempera on wood transferred to canvas, 152 x 88 cm (centre), 152 x 47 cm (sides)",c. 1478,religious,Italian,1451-1500
00571-polyptyx.jpg,"All were venerated for their miraculous powers against epidemics.The paintings in the lower register were transferred to canvas, the lunette remains on panel.",ANDREA DA MURANO,Polyptych,"Tempera on wood transferred to canvas, 152 x 88 cm (centre), 152 x 47 cm (sides)",c. 1478,religious,Italian,1451-1500
00571-polyptyx.jpg,The polyptych is signed lower centre: OPUS.ANDRAE.DE.MURIANO,ANDREA DA MURANO,Polyptych,"Tempera on wood transferred to canvas, 152 x 88 cm (centre), 152 x 47 cm (sides)",c. 1478,religious,Italian,1451-1500
00581-05pazzi.jpg,"The Madonna and Child with Saints, that Andrea frescoed in the chapel in the castle of Trebbio (Val di Sieci), belonging to the Pazzi family, is influenced by Domenico Veneziano's peaceful and luminous painting.",ANDREA DEL CASTAGNO,Madonna and Child with Saints,"Fresco, 290 x 212 cm",c. 1445,religious,Italian,1401-1450
00581-05pazzi.jpg,"Despite the strong naturalism of the two saints on either side of the Madonna, the scene is characterized by a gentleness of forms, a delicacy of colour harmonies, and a majestic composition that Andrea had most probably borrowed from Veneziano's Carnesecchi Tabernacle and his frescoes in Sant'Egidio",ANDREA DEL CASTAGNO,Madonna and Child with Saints,"Fresco, 290 x 212 cm",c. 1445,religious,Italian,1401-1450
00606-4esther.jpg,"The picture shows one of the three famous women represented in the cycle.Esther, the beautiful Jewish wife of the Persian king Ahasuerus (Xerxes I), and her cousin Mordecai persuaded the king to retract an order for the general annihilation of Jews throughout the empire.",ANDREA DEL CASTAGNO,Famous Persons: Queen Esther,"Fresco transferred to wood, 120 x 150 cm",c. 1450,portrait,Italian,1401-1450
00606-4esther.jpg,"The massacre had been plotted by the king's chief minister, Haman, and the date decided by casting lots (purim).",ANDREA DEL CASTAGNO,Famous Persons: Queen Esther,"Fresco transferred to wood, 120 x 150 cm",c. 1450,portrait,Italian,1401-1450
00606-4esther.jpg,"Instead, Haman was hanged on the gallows he built for Mordecai; and on the day planned for their annihilation, the Jews destroyed their enemies",ANDREA DEL CASTAGNO,Famous Persons: Queen Esther,"Fresco transferred to wood, 120 x 150 cm",c. 1450,portrait,Italian,1401-1450
00640-port_lad.jpg,"The lady holds a 'petrarchino,' a small popular edition of the poems written by Francesco Petrarca, who largely set the tone of the secular Renaissance",ANDREA DEL SARTO,Portrait of a Lady with a Book,"Oil on wood, 87 x 69 cm",1514,portrait,Italian,1501-1550
00642-portband.jpg,"Laboratory examinations performed during the last restoration in 1986 have shown that this picture is a copy, albeit a very old and good one, of the portrait mentioned by Vasari in the first edition of his artists' biographies.",ANDREA DEL SARTO,Portrait of Baccio Bandinelli,"Oil on canvas, 59 x 43 cm",-,portrait,Italian,1501-1550
00642-portband.jpg,"It was executed in the late sixteenth-early seventeenth century, before 1635",ANDREA DEL SARTO,Portrait of Baccio Bandinelli,"Oil on canvas, 59 x 43 cm",-,portrait,Italian,1501-1550
00656-lastsup.jpg,"The Cenacolo of San Salvi is possibly the one which most easily lends itself to the transformation into a museum, with its fairly large interiors on the ground and first floors.",ANDREA DEL SARTO,The Last Supper,"Fresco, 525 x 871 cm",1520-25,religious,Italian,1501-1550
00656-lastsup.jpg,It was part of a Vallombrosan convent and it passed to the Ladies of Faenza.,ANDREA DEL SARTO,The Last Supper,"Fresco, 525 x 871 cm",1520-25,religious,Italian,1501-1550
00656-lastsup.jpg,In 1511 a contract was drawn up with Andrea del Sarto for the decoration of the Refectory.,ANDREA DEL SARTO,The Last Supper,"Fresco, 525 x 871 cm",1520-25,religious,Italian,1501-1550
00656-lastsup.jpg,"Although commissioned at the beginning of his career, it was carried out slowly and was completed between 1520-25, a particularly fine period of the work of Andrea del Sarto.Miraculously spared during the Siege of Florence in 1529-30, the fresco is placed under a large arch containing painted medallions with the Trinity and four Saints, protectors of the Vallombrosan Order.",ANDREA DEL SARTO,The Last Supper,"Fresco, 525 x 871 cm",1520-25,religious,Italian,1501-1550
00656-lastsup.jpg,"Andrea's personality and background are evident in the fresco's innovations; he appears to be influenced by Leonardo and the Roman work of Michelangelo and Raphael, revealed in a work of magnificence and pre-baroque spontaneity",ANDREA DEL SARTO,The Last Supper,"Fresco, 525 x 871 cm",1520-25,religious,Italian,1501-1550
00676-s_james.jpg,In this painting Andrea del Sarto appears to reflect on an archaising iconography in the style of Fra Bartolomeo.,ANDREA DEL SARTO,St James,"Oil on canvas, 159 x 86 cm",1528-29,religious,Italian,1501-1550
00676-s_james.jpg,"The figure is large and dominant, yet the proportions between the masses and the space are accurate.",ANDREA DEL SARTO,St James,"Oil on canvas, 159 x 86 cm",1528-29,religious,Italian,1501-1550
00676-s_james.jpg,"Even the extended spreading of the colours seems intended to lighten the weight of the figure, which due to the faint and uncertain light stands alone and isolated against the background surroundings.It is the standard of the Compagnia di San Jacopo del Nicchio.",ANDREA DEL SARTO,St James,"Oil on canvas, 159 x 86 cm",1528-29,religious,Italian,1501-1550
00676-s_james.jpg,"The two children wear the costume of the ""battuti"".",ANDREA DEL SARTO,St James,"Oil on canvas, 159 x 86 cm",1528-29,religious,Italian,1501-1550
