sentence_id,sentence_text,image_file,title,author,type,school,timeframe_start,timeframe_end
30,"The depictions are: Phoebus-Apollo and Personifications of the Seasons in the centre panel; Genii of Morning and Evening Twilight in the ovals; The Planetary Gods; Genii of Morning and Night with their Children Sleep and Death in the spandrels.Since antiquity, colonnades and porticoes with painted decoration have been distinguishing features of the palaces of ruling houses.",00195-5verospi.jpg,Ceiling vault of piano nobile loggia,Francesco ALBANI,mythological,Italian,1601,1650
31,"In the seventeenth century the main focus in the painting of a loggia, an indispensable feature of the piano nobile in palaces and villas in Rome and elsewhere, was the vault.",00195-5verospi.jpg,Ceiling vault of piano nobile loggia,Francesco ALBANI,mythological,Italian,1601,1650
32,"The original pattern for the Roman loggia was the loggia of the Villa Farnesina, painted by Raphael with free-floating figures in the spandrels and caps of the vault.",00195-5verospi.jpg,Ceiling vault of piano nobile loggia,Francesco ALBANI,mythological,Italian,1601,1650
33,"The piano nobile loggia in the Palazzo Verospi, painted by Albani follows this pattern, but borrowings from the ceiling of the Galleria Farnese, from Reni's Aurora and Guercino's Aurora are also present",00195-5verospi.jpg,Ceiling vault of piano nobile loggia,Francesco ALBANI,mythological,Italian,1601,1650
34,"In 1621, Ferdinando Gonzaga, the Duke of Mantua, commissioned a series of The Story of Venus for his Villa Favorita.",00206-venus1.jpg,Toilet of Venus,Francesco ALBANI,mythological,Italian,1601,1650
35,"Completed in 1633, these pictures are enlarged versions of the round compositions of a cycle formerly executed for the prince Borghese towards 1615-17.",00206-venus1.jpg,Toilet of Venus,Francesco ALBANI,mythological,Italian,1601,1650
36,The Toilet of Venus belongs to the series,00206-venus1.jpg,Toilet of Venus,Francesco ALBANI,mythological,Italian,1601,1650
37,"This scene is on the east wall of the Galleria in the Palazzo Odescalchi Giustiniani, Bassano Romano",00210-phaeton3.jpg,The Phaethon Legend: Neptune Taming Horses,Francesco ALBANI,mythological,Italian,1601,1650
38,"From the demolished church of San Giovanni Evangelista on Torcello, the polyptych portrays with exemplary clarity one of the visions described by St John in the Book of Revelations",00217-apocaly.jpg,Polyptych of the Apocalypse,Jacobello ALBEREGNO,religious,Italian,1351,1400
39,The oratory at the west edge of the city centre of Urbino was erected c. 1393.,00221-oratory.jpg,St John fresco cycle,Antonio ALBERTI,religious,Italian,1401,1450
40,"Nothing is known about the commissioning of the paintings on the walls, a cycle depicting scenes from the life of St John the Baptist.",00221-oratory.jpg,St John fresco cycle,Antonio ALBERTI,religious,Italian,1401,1450
41,"The unidentified patron was probably from Rome from where the Salimbeni brothers, Lorenzo and Jacopo, came to Urbino for this commission.",00221-oratory.jpg,St John fresco cycle,Antonio ALBERTI,religious,Italian,1401,1450
42,Stylistic analysis tells us that another painter was also engaged for the wall frescoes in the oratory.,00221-oratory.jpg,St John fresco cycle,Antonio ALBERTI,religious,Italian,1401,1450
43,Antonio Alberti was responsible for the scenes from the St John cycle on the left-hand wall and on the inner façade.The picture shows the view of the left-hand (east) long wall of the oratory with fragments of the St John cycle in the upper register.,00221-oratory.jpg,St John fresco cycle,Antonio ALBERTI,religious,Italian,1401,1450
44,"The scenic compartments are considered to be the work of Antonio Alberti.The lower register of the east wall includes several votive pictures, separately framed but also painted on the wall, that must have been executed at roughly the same time as the cycle.",00221-oratory.jpg,St John fresco cycle,Antonio ALBERTI,religious,Italian,1401,1450
45,The two votive paintings with an enthroned Madonna and saints were painted by the Salimbeni brothers.,00221-oratory.jpg,St John fresco cycle,Antonio ALBERTI,religious,Italian,1401,1450
46,Alcibar was a famous painter in Mexico in the viceregal period.,00255-v_josefa.jpg,Portrait of María Anna Josefa Taking Vow,José de ALCIBAR,portrait,Other,1751,1800
47,"He painted murals in many cathedrals, and painted portraits of nuns.",00255-v_josefa.jpg,Portrait of María Anna Josefa Taking Vow,José de ALCIBAR,portrait,Other,1751,1800
48,In 18th-century Mexico hundreds of portraits were produced on the occasion of taking vow of chastity of young girls going to a convent.,00255-v_josefa.jpg,Portrait of María Anna Josefa Taking Vow,José de ALCIBAR,portrait,Other,1751,1800
49,This painting representing a 16 years old girl belongs to this series,00255-v_josefa.jpg,Portrait of María Anna Josefa Taking Vow,José de ALCIBAR,portrait,Other,1751,1800
50,"What strikes us in this portrait is the convincing compromise between the formal purity acquired from Bronzino, the predilection for enlarged forms drawn from Michelangelo, and the balanced, rhythmic spatial models of Raphael, for Allori was a truly skilled alchemist in combining these various influences in a dignified way.The lady portrayed is certainly Bianca Cappello, already painted by Allori in a fresco which now hangs in the Tribune of the Uffizi.On the back of the portrait is an allegorical scene, the Dream of Human Life",00334-portra1.jpg,Portrait of a Woman,Alessandro ALLORI,portrait,Italian,1551,1600
51,Grand Duke Francesco I de' Medici was a man of profound and obsessive passions.,00336-portrai3.jpg,"Portrait of Bianca Cappello, Second Wife of Francesco I de' Medici",Alessandro ALLORI,portrait,Italian,1551,1600
52,"The Uffizi galleries, which he established, were one, Bianca Cappello (1548-1587), his mistress, and afterwards, the second wife, was the other.",00336-portrai3.jpg,"Portrait of Bianca Cappello, Second Wife of Francesco I de' Medici",Alessandro ALLORI,portrait,Italian,1551,1600
53,"The forested landscapes of Alsloot often incorporate views of castles and abbeys located in the Foret de Soignes, near Brussels, a frequent source of inspiration.",00361-flight_e.jpg,The Flight into Egypt,Denis van ALSLOOT,religious,Flemish,1601,1650
54,"The building depicted with topographical accuracy in its lakeside setting in the present painting can be identified as the ch&#226;teau at Tervueren, an important site tied to the Brussels court.",00361-flight_e.jpg,The Flight into Egypt,Denis van ALSLOOT,religious,Flemish,1601,1650
55,"As in many of Alsloot's paintings the figures are probably the work of Alsloot's principal collaborator, Hendrik de Clerck",00361-flight_e.jpg,The Flight into Egypt,Denis van ALSLOOT,religious,Flemish,1601,1650
56,This is the most famous painting of Altdorfer.,00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
57,Its subject is the victory of the young Alexander the Great in 333 B.C.,00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
58,over the Persian army of King Darius in the battle of Issos.,00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
59,"The battle in fact took place in Turkey, however, on this painting it is shown in the rocky environment of the Alps with German cities in the background.The viewer, endowed with telescopic vision, witnesses the battle and the cosmic landscape.",00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
60,The ebb and flow of battle makes it difficult initially to distinguish the two sides.,00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
61,"Altdorfer dressed the Macedonians like German knights and landsknechts (mercenary foot-soldiers), while the Persian warriors sport turbans and exotic attires.",00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
62,Hundreds of riders and foot-soldiers skirmish within sight of their battle standards.,00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
63,"Darius' chariot, with mounted steel blades, cuts a path through the throng.",00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
64,"Alexander, riding on Bucephalus, and some of his knights are in close pursuit.",00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
65,"Darius escaped but at great cost: according to the tablet above, 100.000 Persian soldiers and 10.000 riders died.",00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
66,"Although the actual toll was lower, Darius' army was decimated and his family was captured.",00370-5battle.jpg,The Battle of Alexander,Albrecht ALTDORFER,historical,German,1501,1550
67,"The first two pictures, dedicated to St Catherine, are in very poor condition; they show the saint appearing before Emperor Maxentius to condemn idolatry and her dispute with the philosophers summoned by the emperor and their conversion.",00418-4saints2.jpg,The Beheading of St Catherine,ALTICHIERO da Zevio,religious,Italian,1351,1400
68,These scenes are followed by the picture of an angel intervening to prevent Catherine's torture on the wheel and the beheading of the saint.,00418-4saints2.jpg,The Beheading of St Catherine,ALTICHIERO da Zevio,religious,Italian,1351,1400
69,"Both scenes have parallels in the St George cycle, here, however, an oriental milieu, seen in the physiognomies, head coverings, and scimitars, is emphasized still more",00418-4saints2.jpg,The Beheading of St Catherine,ALTICHIERO da Zevio,religious,Italian,1351,1400
70,This oil sketch is a study for a ceiling fresco in the ceremonial hall of the Neuwartenburg palace near Timelkam/Vocklabruck.,00431-4seasons.jpg,The Four Seasons Paying Homage to Chronos,Bartolomeo ALTOMONTE,mythological,Austrian,1701,1750
71,"The palace was built between 1730-32 by the architect Anton Erhard Martinelli (c. 1684&#151;1747) in honour of Emperor Charles VI, who visited Vocklabruck to go hawking",00431-4seasons.jpg,The Four Seasons Paying Homage to Chronos,Bartolomeo ALTOMONTE,mythological,Austrian,1701,1750
72,This painting relates the story of Jael and Sisera in tones of delicate colours that contrast emphatically with the drama of the biblical event recounted.,00468-sisera.jpg,Jael and Sisera,Jacopo AMIGONI,mythological,Italian,1701,1750
73,"It was painted after the artist's return too Venice from travels that took him to most of Europe, when his palette became brighter and more refined.Sisera was a cruel Canaanite leader who ruled the Israelites for twenty years.",00468-sisera.jpg,Jael and Sisera,Jacopo AMIGONI,mythological,Italian,1701,1750
74,Barak defeated his nine hundred charioteers by a surprise Israelite attack.,00468-sisera.jpg,Jael and Sisera,Jacopo AMIGONI,mythological,Italian,1701,1750
75,"Sisera escaped and sought refuge in the tent of Jael, wife of Heber the Kenite.",00468-sisera.jpg,Jael and Sisera,Jacopo AMIGONI,mythological,Italian,1701,1750
76,She gave the terrified Canaanite sanctuary.,00468-sisera.jpg,Jael and Sisera,Jacopo AMIGONI,mythological,Italian,1701,1750
77,"When he fell asleep, she drove a tent peg into his brain.",00468-sisera.jpg,Jael and Sisera,Jacopo AMIGONI,mythological,Italian,1701,1750
78,"The act fulfilled the prediction of Debora, prophetess and Israelite leader, who foresaw that a woman would slay Sisera",00468-sisera.jpg,Jael and Sisera,Jacopo AMIGONI,mythological,Italian,1701,1750
79,"Amigoni had spent his early career in Venice, but he left the city to make a name for himself as an international artist, quickly finding an avid audience in the various courts of Europe which had developed a taste for the charm of the Venetian Rococo.",00475-venus2.jpg,Bacchus and Ariadne,Jacopo AMIGONI,mythological,Italian,1701,1750
80,"In 1730, Amigoni arrived in London fresh from a series of pictorial triumphs in Venice, Rome and at the court of the Elector of Bavaria, and soon had eager patrons amongst the English nobility and even royalty.The pair of canvases of mythological subjects, Venus and Adonis, and Bacchus and Ariadne, represent one of the most important works by Amigoni from his seminal English sojourn.",00475-venus2.jpg,Bacchus and Ariadne,Jacopo AMIGONI,mythological,Italian,1701,1750
81,"These subjects represent two of the most recognizable and classic of all mythological stories, both with a rich history of pictorial representation in Venetian art.",00475-venus2.jpg,Bacchus and Ariadne,Jacopo AMIGONI,mythological,Italian,1701,1750
82,"They are taken from Ovid's Metamorphoses, and in the case of Venus and Adonis, Amigoni returned to the subject throughout his career",00475-venus2.jpg,Bacchus and Ariadne,Jacopo AMIGONI,mythological,Italian,1701,1750
83,Amigoni treated this subject about fifteen times during his career.,00476-virgin_c.jpg,Virgin and Child,Jacopo AMIGONI,religious,Italian,1701,1750
84,It is difficult to reconstruct a chronological classification of these pieces,00476-virgin_c.jpg,Virgin and Child,Jacopo AMIGONI,religious,Italian,1701,1750
85,"This portrait, depicting a frontal view of a seated woman with a pillow at her back.",00515-mother.jpg,"The Artist's Mother, Anna Hedvig Br?ndum",Anna Kirstine ANCHER,portrait,Danish,1851,1900
86,"depends on its palette of rose, violet, white, yellow and blue shades",00515-mother.jpg,"The Artist's Mother, Anna Hedvig Br?ndum",Anna Kirstine ANCHER,portrait,Danish,1851,1900
87,With this painting Michael Ancher continued his tale of the heroic fishermen of Skagen.,00516-lifeboat.jpg,The Lifeboat is Taken through the Dunes,Michael Peter ANCHER,genre,Danish,1851,1900
88,"An epic on a grand scale, the narrative opened with the question Will He Weather the Point, went on to a happy preliminary end, as it were, with A Crew is Rescued and was finally concluded in The Drowned Fisherman",00516-lifeboat.jpg,The Lifeboat is Taken through the Dunes,Michael Peter ANCHER,genre,Danish,1851,1900
89,"On 5th February 1794, Sir John Jervis and Lieutenant General Sir Charles Grey, arrived at Martinique and by 20th March the whole island, with the exception of Fort Bourbon and Fort Royal, had submitted.",00518-capture.jpg,"The Capture of Fort Saint Louis, Martinique",William ANDERSON,historical,Scottish,1801,1850
90,"On 20th March Fort Louis, the chief defence of Fort Royal was captured.",00518-capture.jpg,"The Capture of Fort Saint Louis, Martinique",William ANDERSON,historical,Scottish,1801,1850
91,Meanwhile the boats captured Fort Royal and two days later Fort Bourbon capitulated,00518-capture.jpg,"The Capture of Fort Saint Louis, Martinique",William ANDERSON,historical,Scottish,1801,1850
92,"The work was probably painted after an outbreak of plague, perhaps the one in 1478, as the saints in the lower register suggest.",00571-polyptyx.jpg,Polyptych,ANDREA DA MURANO,religious,Italian,1451,1500
93,"All were venerated for their miraculous powers against epidemics.The paintings in the lower register were transferred to canvas, the lunette remains on panel.",00571-polyptyx.jpg,Polyptych,ANDREA DA MURANO,religious,Italian,1451,1500
94,The polyptych is signed lower centre: OPUS.ANDRAE.DE.MURIANO,00571-polyptyx.jpg,Polyptych,ANDREA DA MURANO,religious,Italian,1451,1500
95,"The Madonna and Child with Saints, that Andrea frescoed in the chapel in the castle of Trebbio (Val di Sieci), belonging to the Pazzi family, is influenced by Domenico Veneziano's peaceful and luminous painting.",00581-05pazzi.jpg,Madonna and Child with Saints,ANDREA DEL CASTAGNO,religious,Italian,1401,1450
96,"Despite the strong naturalism of the two saints on either side of the Madonna, the scene is characterized by a gentleness of forms, a delicacy of colour harmonies, and a majestic composition that Andrea had most probably borrowed from Veneziano's Carnesecchi Tabernacle and his frescoes in Sant'Egidio",00581-05pazzi.jpg,Madonna and Child with Saints,ANDREA DEL CASTAGNO,religious,Italian,1401,1450
97,"The picture shows one of the three famous women represented in the cycle.Esther, the beautiful Jewish wife of the Persian king Ahasuerus (Xerxes I), and her cousin Mordecai persuaded the king to retract an order for the general annihilation of Jews throughout the empire.",00606-4esther.jpg,Famous Persons: Queen Esther,ANDREA DEL CASTAGNO,portrait,Italian,1401,1450
98,"The massacre had been plotted by the king's chief minister, Haman, and the date decided by casting lots (purim).",00606-4esther.jpg,Famous Persons: Queen Esther,ANDREA DEL CASTAGNO,portrait,Italian,1401,1450
99,"Instead, Haman was hanged on the gallows he built for Mordecai; and on the day planned for their annihilation, the Jews destroyed their enemies",00606-4esther.jpg,Famous Persons: Queen Esther,ANDREA DEL CASTAGNO,portrait,Italian,1401,1450
100,"The lady holds a 'petrarchino,' a small popular edition of the poems written by Francesco Petrarca, who largely set the tone of the secular Renaissance",00640-port_lad.jpg,Portrait of a Lady with a Book,ANDREA DEL SARTO,portrait,Italian,1501,1550
101,"Laboratory examinations performed during the last restoration in 1986 have shown that this picture is a copy, albeit a very old and good one, of the portrait mentioned by Vasari in the first edition of his artists' biographies.",00642-portband.jpg,Portrait of Baccio Bandinelli,ANDREA DEL SARTO,portrait,Italian,1501,1550
102,"It was executed in the late sixteenth-early seventeenth century, before 1635",00642-portband.jpg,Portrait of Baccio Bandinelli,ANDREA DEL SARTO,portrait,Italian,1501,1550
103,"The Cenacolo of San Salvi is possibly the one which most easily lends itself to the transformation into a museum, with its fairly large interiors on the ground and first floors.",00656-lastsup.jpg,The Last Supper,ANDREA DEL SARTO,religious,Italian,1501,1550
104,It was part of a Vallombrosan convent and it passed to the Ladies of Faenza.,00656-lastsup.jpg,The Last Supper,ANDREA DEL SARTO,religious,Italian,1501,1550
105,In 1511 a contract was drawn up with Andrea del Sarto for the decoration of the Refectory.,00656-lastsup.jpg,The Last Supper,ANDREA DEL SARTO,religious,Italian,1501,1550
106,"Although commissioned at the beginning of his career, it was carried out slowly and was completed between 1520-25, a particularly fine period of the work of Andrea del Sarto.Miraculously spared during the Siege of Florence in 1529-30, the fresco is placed under a large arch containing painted medallions with the Trinity and four Saints, protectors of the Vallombrosan Order.",00656-lastsup.jpg,The Last Supper,ANDREA DEL SARTO,religious,Italian,1501,1550
107,"Andrea's personality and background are evident in the fresco's innovations; he appears to be influenced by Leonardo and the Roman work of Michelangelo and Raphael, revealed in a work of magnificence and pre-baroque spontaneity",00656-lastsup.jpg,The Last Supper,ANDREA DEL SARTO,religious,Italian,1501,1550
108,In this painting Andrea del Sarto appears to reflect on an archaising iconography in the style of Fra Bartolomeo.,00676-s_james.jpg,St James,ANDREA DEL SARTO,religious,Italian,1501,1550
109,"The figure is large and dominant, yet the proportions between the masses and the space are accurate.",00676-s_james.jpg,St James,ANDREA DEL SARTO,religious,Italian,1501,1550
110,"Even the extended spreading of the colours seems intended to lighten the weight of the figure, which due to the faint and uncertain light stands alone and isolated against the background surroundings.It is the standard of the Compagnia di San Jacopo del Nicchio.",00676-s_james.jpg,St James,ANDREA DEL SARTO,religious,Italian,1501,1550
111,"The two children wear the costume of the ""battuti"".",00676-s_james.jpg,St James,ANDREA DEL SARTO,religious,Italian,1501,1550
112,It is a late work and very beautiful.The painting was restored in 1989,00676-s_james.jpg,St James,ANDREA DEL SARTO,religious,Italian,1501,1550
113,"In 1754, three canvases (St Roch in Glory, Faith, Charity) were commissioned from Giuseppe Angeli by Antonio Bianchi, the Guardian Grande of the Scuola di San Rocco.",00738-rocco3.jpg,Charity,Giuseppe ANGELI,religious,Italian,1701,1750
114,They decorate the ceiling of the Chancery,00738-rocco3.jpg,Charity,Giuseppe ANGELI,religious,Italian,1701,1750
115,The painting is a repetition of the main panel of the Prado Altarpiece in a more refined architectural setting.,00772-1annunc.jpg,Annunciation,Fra ANGELICO,religious,Italian,1401,1450
116,The altarpiece is the work of Fra Angelico with an intervention of his collaborators only in the predella pictures,00772-1annunc.jpg,Annunciation,Fra ANGELICO,religious,Italian,1401,1450
117,"In the predella below the Annunciation, near the two farthest edges, two scenes are painted (23 x 14 cm each).",00781-3predel4.jpg,The Presentation of Christ in the Temple,Fra ANGELICO,religious,Italian,1401,1450
118,"The first represent the Birth of the Virgin, the other The Virgin Consigns the Habit to St Dominic.",00781-3predel4.jpg,The Presentation of Christ in the Temple,Fra ANGELICO,religious,Italian,1401,1450
119,"There are five central scenes of the life of the Virgin, one after the other without interruption (23 x 183 cm), namely (from the left).",00781-3predel4.jpg,The Presentation of Christ in the Temple,Fra ANGELICO,religious,Italian,1401,1450
120,"Marriage of the Virgin, The Visitation, Adoration of the Magi, Presentation of Jesus at the Temple, Death of the Virgin.This picture shows the scene of the Presentation of Christ in the Temple.",00781-3predel4.jpg,The Presentation of Christ in the Temple,Fra ANGELICO,religious,Italian,1401,1450
121,"In this scene Joseph, the Virgin, the High Priest and St Anne stand in the foreground, a nave of receding columns extending backwards behind them.",00781-3predel4.jpg,The Presentation of Christ in the Temple,Fra ANGELICO,religious,Italian,1401,1450
122,"Exterior space is hinted at by the doorway to the left, the round window in the apse, the edge of the top light high above the nave and the strong light hitting the foreground from a source outside the picture space",00781-3predel4.jpg,The Presentation of Christ in the Temple,Fra ANGELICO,religious,Italian,1401,1450
123,"This picture is the second from the left on the predella.In this scene the saints' prayer to God, the judge's attack by demons and their salvation by angels are represented in varied scale throughout the landscape to connote different moments in time.",00813-marco_p3.jpg,Saint Cosmas and Saint Damian Salvaged,Fra ANGELICO,religious,Italian,1401,1450
124,"The undulating forms of the landscape recede and flatten as they approach the horizon, itself dissolved in the mist of atmospheric perspective.",00813-marco_p3.jpg,Saint Cosmas and Saint Damian Salvaged,Fra ANGELICO,religious,Italian,1401,1450
125,"The figures are more intensely characterized through their varied ages, garments, postures and expressions",00813-marco_p3.jpg,Saint Cosmas and Saint Damian Salvaged,Fra ANGELICO,religious,Italian,1401,1450
126,This picture was placed on the right lateral side of the predella.,00819-marco_p9.jpg,The Healing of Justinian by Saint Cosmas and Saint Damian,Fra ANGELICO,religious,Italian,1401,1450
127,Justinian sleeps while Sts Cosmas and Damian enter his chamber trailing patches of soft cloud.,00819-marco_p9.jpg,The Healing of Justinian by Saint Cosmas and Saint Damian,Fra ANGELICO,religious,Italian,1401,1450
128,They replace his corrupted leg with a healthy one.,00819-marco_p9.jpg,The Healing of Justinian by Saint Cosmas and Saint Damian,Fra ANGELICO,religious,Italian,1401,1450
129,The room is Spartan but the variety of light-sources and Angelico's close observation give it interest.,00819-marco_p9.jpg,The Healing of Justinian by Saint Cosmas and Saint Damian,Fra ANGELICO,religious,Italian,1401,1450
130,"Light floods in from outside through the window on the left, illuminating its own frame and parts of the swags of curtain.",00819-marco_p9.jpg,The Healing of Justinian by Saint Cosmas and Saint Damian,Fra ANGELICO,religious,Italian,1401,1450
131,"Exterior space is indicated not only by the window but by the door opposite it, from whence comes more light.",00819-marco_p9.jpg,The Healing of Justinian by Saint Cosmas and Saint Damian,Fra ANGELICO,religious,Italian,1401,1450
132,"From the front left outside the picture comes the third source of light, which produces a broad diagonal sweep across the right wall.",00819-marco_p9.jpg,The Healing of Justinian by Saint Cosmas and Saint Damian,Fra ANGELICO,religious,Italian,1401,1450
133,"The curtain provides the rectangular backdrop parallel to the picture surface which is common to each of these predella panels, and also hints at more, obscured space behind it.",00819-marco_p9.jpg,The Healing of Justinian by Saint Cosmas and Saint Damian,Fra ANGELICO,religious,Italian,1401,1450
134,"The container hanging from a nail on the side of the bed, the glass and decanter, the slippers and the simple three-legged stool, all provide the constituents of a closely observed still-life",00819-marco_p9.jpg,The Healing of Justinian by Saint Cosmas and Saint Damian,Fra ANGELICO,religious,Italian,1401,1450
135,"This is the fresco on the wall of Cell 35 of the Convento di San Marco in Florence.In contrast to most frescoes in the cells of the friars and novices, those in the corridor of the lay brethren are illustrative narratives that closely follow the Gospel of Matthew.",00849-35_eucha.jpg,Institution of the Eucharist (Cell 35),Fra ANGELICO,religious,Italian,1401,1450
136,These portrayals were directed to a community that was less attuned to theological and visual abstraction.,00849-35_eucha.jpg,Institution of the Eucharist (Cell 35),Fra ANGELICO,religious,Italian,1401,1450
